Account Number,Job Reference,Job Name,Job Status
12011000,1,'General Purchases',Open
12011000,2,'General Purchases',Open
12011000,3,'General Purchases',Open
13011000,1,"'1301 Gilbert, LLC'",Open
13011000,2,'1301 Gilbert Street (54 Unit)',Open
13011000,3,'125 East Zeller - Office Remod',Open
1STI1000,1,'General Purchases',Open
1STI1000,2,'Woodward-Casey''s',Open
1STI1000,3,'12041 NW Towner Drive',Open
1STI1000,4,'1014 SE Lorenz Drive - CJM Financial',Open
1STI1000,5,'1205 SE 16th Court',Open
1STI1000,7,'95 University',Open
1STI1000,8,'209 East Main Street - Casey''s Store 3026',Open
1STI1000,9,'I-35/80 & Douglas - Bob Brown Chevrolet',Open
1STI1000,10,'Denver Project',Open
1STI1000,11,'701 N C Street - Kent Campus',Open
1STI1000,12,'421 Washington Street - 1st United Meth Church',Open
1STI1000,13,'1101 SE Oralabor Road',Open
1STI1000,14,'5800 SE 12th Avenue - Care Iniatives',Open
1STI1000,15,'Warren House',Open
1STI1000,16,'Meredith Middle School - 4827 Madison Avenue',Open
1STI1000,17,'Wieler Job - Knoxville',Open
1STI1000,18,'Bloom Job',Open
1STI1000,19,'Thorton',Open
1STI1000,20,'Casey''s In Norwalk',Open
1STI1000,21,'Gyp Supply PU',Open
1STI1000,22,'Casey''s - Ankeny',Open
1STI1000,23,'Karl''s Hot Rod',Open
1STI1000,24,'9295 NW 121st - Barry Mack',Open
1STI1000,25,'Karl''s Hot Rod - 5927 NE Industrial Drive',Open
1STI1000,26,'Southridge Mall',Open
1STI1000,27,'Blank Park Zoo',Open
1STI1000,28,'North Casey''s----Ankeny',Open
1STI1000,29,'Altoona Campus',Open
1STI1000,30,'Casey''s Shortstop',Open
1STI1000,31,'Kentecho',Open
1STI1000,32,'300 East County Line Road - Studabaker',Open
1STI1000,33,'Kent Center ISU Campus',Open
1STI1000,34,'Fairgrounds',Open
1STI1000,35,'Family Dollar Store',Open
1STI1000,36,'300 East County Line Road',Open
1STI1000,37,'Pleasantville School',Open
1STI1000,38,'Cedar Rapids',Open
1STI1000,39,'309 13th Street - Fighting Burrito',Open
1STI1000,40,'Joe Harter',Open
1STI1000,41,'8750 NE Morgan Drive - Joe Harter',Open
1STI1000,42,'3500 EP True Parkway',Open
1STI1000,43,'shop',Open
1STI1000,44,'Southridge Mall',Open
1STI1000,45,'Norwoodville Casey''s',Open
1STI1000,46,'Indianola Avenue Caseys',Open
1STI1000,47,'1409 Clark Street - House Of Mercy',Open
1STI1000,48,'West Bank',Open
1STI1000,49,'Newton YMCA',Open
1STI1000,50,'Casey''s Johnson',Open
1STI1000,51,'Kantacho Job',Open
1STI1000,52,'6110 Merle Hay Road - Casey''s  Next To Dairy Queen',Open
1STI1000,53,'Vermeer Mfg. - 1210 East Vermeer Road',Open
1STI1000,54,'Caribou Coffee',Open
1STI1000,55,'1759 Plum Thicket',Open
1STI1000,56,'Casey''s Saylorville',Open
1STI1000,57,'2541 NW 66th Avenue - Casey''s Saylorville',Open
1STI1000,58,'AFSCMC',Open
1STI1000,59,'PO# 32106 Will Call',Open
1STI1000,60,'Altoona Crossroads',Open
1STI1000,61,'Heritage Acres',Open
1STI1000,62,'GAP- Ames',Open
1STI1000,63,'2501 Tones Drive',Open
1STI1000,64,'IDS',Open
1STI1000,65,'Patterson Dntl.',Open
1STI1000,66,'Painters Hall',Open
1STI1000,67,'5824 Douglas Avenue - Shops Of Douglas',Open
1STI1000,68,'Principal Park',Open
1STI1000,69,'OMG',Open
1STI1000,70,'',Open
1STI1000,71,'Ponchos',Open
1STI1000,72,'Care Initiative',Open
1STI1000,73,'708 South Jefferson Way - Good Samaritan Center',Open
1STI1000,74,'LMC',Open
1STI1000,75,'1100 SE Westbrook Drive - Their Office',Open
1STI1000,76,'4400 University',Open
1STI1000,77,'Cupola - See Below For Address Directio',Open
1STI1000,78,'Mitchelville Building #9',Open
1STI1000,79,'Metro Methane',Open
1STI1000,81,'Channel Prime',Open
1STI1000,82,'Midland Credit Union',Open
